OrderID,VehicleID,Sequence,StopID,ArrivalTime,WaitingTime,UnloadingTime,DepartureTime
O_528,Veh3500_153,6,S_633,2024-09-01 08:23:00,0,3.95,2024-09-01 08:27:00
O_1073,Veh3500_153,7,S_633,2024-09-01 08:27:00,0,3.65,2024-09-01 08:30:00
O_527,Veh3500_153,8,S_632,2024-09-01 08:41:00,0,3.6,2024-09-01 08:44:00
O_221,Veh3500_154,1,S_260,2024-09-01 06:35:00,0,3.7,2024-09-01 06:38:00
O_1970,Veh3500_154,2,S_260,2024-09-01 06:38:00,0,38.0,2024-09-01 07:16:00
O_1971,Veh3500_154,3,S_260,2024-09-01 07:16:00,0,3.9,2024-09-01 07:20:00
O_219,Veh3500_154,4,S_257,2024-09-01 07:37:00,0,6.35,2024-09-01 07:44:00
O_156,Veh3500_155,1,S_182,2024-09-01 06:42:00,0,13.45,2024-09-01 06:56:00
O_2266,Veh3500_155,2,S_182,2024-09-01 06:56:00,0,4.05,2024-09-01 07:00:00
O_2267,Veh3500_155,3,S_182,2024-09-01 07:00:00,0,4.85,2024-09-01 07:05:00
O_2268,Veh3500_155,4,S_182,2024-09-01 07:05:00,0,4.4,2024-09-01 07:09:00
O_2269,Veh3500_155,5,S_182,2024-09-01 07:09:00,0,5.6,2024-09-01 07:15:00
O_2270,Veh3500_155,6,S_182,2024-09-01 07:15:00,0,12.6,2024-09-01 07:27:00
O_771,Veh3500_155,7,S_913,2024-09-01 08:22:00,0,4.65,2024-09-01 08:26:00
O_1668,Veh3500_155,8,S_913,2024-09-01 08:26:00,0,4.1,2024-09-01 08:31:00
O_1669,Veh3500_155,9,S_913,2024-09-01 08:31:00,0,6.2,2024-09-01 08:37:00
O_1670,Veh3500_155,10,S_913,2024-09-01 08:37:00,0,5.45,2024-09-01 08:42:00
O_217,Veh3500_155,11,S_255,2024-09-01 09:29:00,0,3.65,2024-09-01 09:33:00
O_545,Veh3500_155,12,S_653,2024-09-01 10:14:00,0,3.7,2024-09-01 10:17:00
O_773,Veh3500_156,1,S_916,2024-09-01 07:15:00,0,13.0,2024-09-01 07:28:00
O_2174,Veh3500_156,2,S_916,2024-09-01 07:28:00,0,3.8,2024-09-01 07:32:00
O_2175,Veh3500_156,3,S_916,2024-09-01 07:32:00,0,4.65,2024-09-01 07:36:00
O_2176,Veh3500_156,4,S_916,2024-09-01 07:36:00,0,3.55,2024-09-01 07:40:00
O_2177,Veh3500_156,5,S_916,2024-09-01 07:40:00,0,3.65,2024-09-01 07:43:00
O_173,Veh3500_156,6,S_203,2024-09-01 08:54:00,0,3.65,2024-09-01 08:58:00
O_2411,Veh3500_156,7,S_203,2024-09-01 08:58:00,0,3.8,2024-09-01 09:01:00
O_2412,Veh3500_156,8,S_203,2024-09-01 09:01:00,0,3.55,2024-09-01 09:05:00
O_2413,Veh3500_156,9,S_203,2024-09-01 09:05:00,0,4.05,2024-09-01 09:09:00
O_2414,Veh3500_156,10,S_203,2024-09-01 09:09:00,0,4.55,2024-09-01 09:14:00
O_2415,Veh3500_156,11,S_203,2024-09-01 09:14:00,0,3.55,2024-09-01 09:17:00
O_2416,Veh3500_156,12,S_203,2024-09-01 09:17:00,0,3.75,2024-09-01 09:21:00
O_2417,Veh3500_156,13,S_203,2024-09-01 09:21:00,0,4.3,2024-09-01 09:25:00
O_2418,Veh3500_156,14,S_203,2024-09-01 09:25:00,0,5.65,2024-09-01 09:31:00
O_174,Veh3500_156,15,S_204,2024-09-01 09:38:00,0,6.4,2024-09-01 09:45:00
O_543,Veh3500_156,16,S_651,2024-09-01 10:41:00,0,3.5,2024-09-01 10:44:00
O_539,Veh3500_157,1,S_646,2024-09-01 06:53:00,0,7.2,2024-09-01 07:00:00
O_2755,Veh3500_157,2,S_646,2024-09-01 07:00:00,0,4.2,2024-09-01 07:04:00
